Pegelname,,Pegelnummer,km,,PNP,Datum,,Uhrzeit,,Wasserstand,Wasserstand + PNP,,,
,,,,,,,,,,relativ zum PNP,absolut über Null,,,
 ALLER,,,,,,,,,,,,,,
EITZE,,48900237,"9,56",,"8,00 m. ü. NN",23.11.2024,,5:00,,403 cm,"12,03 m. ü. NN",,,
RETHEM,,48900204,"34,22",,"14,31 m. ü. NN",23.11.2024,,5:00,,281 cm,"17,12 m. ü. NN",,,
AHLDEN,,48900102,"57,92",,,23.11.2024,,5:00,,235 cm,,,,
MARKLENDORF,,48700103,"75,91",,"23,01 m. ü. NN",23.11.2024,,5:00,,190 cm,"24,91 m. ü. NN",,,
CELLE,,48300105,"111,55",,"31,82 m. ü. NN",23.11.2024,,5:00,,233 cm,"34,15 m. ü. NN",,,
 BERLIN-SPANDAUER-SCHIFFFAHRTSKANAL,,,,,,,,,,,,,,
BERLIN-PLÖTZENSEE OP,,586640,"7,40",,"28,00 m. ü. NHN",23.11.2024,,5:00,,349 cm,"31,49 m. ü. NHN",,,
BERLIN-PLÖTZENSEE UP,,586650,"7,50",,"28,00 m. ü. NHN",23.11.2024,,5:00,,Picture,"30,71 m. ü. NHN",,,
,,,,,,,,,,271 cm,,,,
 BODENSEE,,,,,,,,,,,,,,
KONSTANZ,,906,"0,00",,"391,89 m. ü. NHN",23.11.2024,,5:00,,323 cm,"395,12 m. ü. NHN",,,
 DAHME-WASSERSTRASSE,,,,,,,,,,,,,,
BERLIN-SCHMÖCKWITZ,,586810,"0,30",,"31,96 m. ü. NHN",23.11.2024,,5:00,,42 cm,"32,38 m. ü. NHN",,,
NEUE MÜHLE SCHLEUSE UP,,586280,"9,40",,"31,11 m. ü. NHN",23.11.2024,,5:00,,124 cm,"32,36 m. ü. NHN",,,
NEUE MÜHLE SCHLEUSE OP,,586270,"9,56",,"31,11 m. ü. NHN",23.11.2024,,5:00,,261 cm,"33,72 m. ü. NHN",,,
 DATTELN-HAMM-KANAL,,,,,,,,,,,,,,
WALTROP,,27800090,"2,14",,,23.11.2024,,4:02,,,"56,54 m+NN",,,
HAMM UW,,27800080,"36,59",,,23.11.2024,,4:02,,,"56,57 m+NN",,,
HAMM OW,,27800060,"38,72",,,23.11.2024,,4:45,,,"58,19 m+NN",,,
WERRIES OW,,27800050,"40,61",,,23.11.2024,,4:45,,,"63,33 m+NN",,,
 DIEMEL,,,,,,,,,,,,,,
HELMINGHAUSEN,,44100206,"90,00",,"336,97 m. ü. NN",23.11.2024,,5:00,,69 cm,"337,66 m. ü. NN",,,
DIEMELTALSPERRE,,44100104,"90,60",,"0,04 m. ü. NN",22.11.2024,,5:45,,,"367,43 m+PNP",,,
WILHELMSBRÜCKE,,44100024,"97,40",,"376,98 m. ü. NN",23.11.2024,,5:00,,25 cm,"377,23 m. ü. NN",,,
 DONAU,,,,,,,,,,,,,,
ERLAU,,10096001,"2 214,50",,"282,65 m. ü. NHN",23.11.2024,,5:00,,Picture,"290,02 m. ü. NHN",,,
,,,,,,,,,,737 cm,,,,
ACHLEITEN,,10094006,"2 223,10",,"287,70 m. ü. NN",23.11.2024,,4:45,,276 cm,"290,46 m. ü. NN",,,
PASSAU ILZSTADT,,10092000,"2 225,20",,"286,21 m. ü. NHN",23.11.2024,,5:00,,457 cm,"290,78 m. ü. NHN",,,
PASSAU DONAU,,10091008,"2 226,70",,"286,44 m. ü. NHN",23.11.2024,,5:00,,454 cm,"290,98 m. ü. NHN",,,
KACHLET SCHLEUSE UP,,10090708,"2 230,30",,"289,98 m. ü. NHN",23.11.2024,,5:00,,148 cm,"291,46 m. ü. NHN",,,
KACHLET WEHR UP,,10090408,"2 230,72",,"289,98 m. ü. NHN",23.11.2024,,4:58,,186 cm,"291,84 m. ü. NHN",,,
VILSHOFEN,,10089006,"2 249,50",,"297,04 m. ü. NHN",23.11.2024,,5:00,,344 cm,"300,48 m. ü. NHN",,,
HOFKIRCHEN,,10088003,"2 256,90",,"299,58 m. ü. NHN",23.11.2024,,5:00,,292 cm,"302,50 m. ü. NHN",,,
DEGGENDORF,,10081004,"2 284,40",,"306,97 m. ü. NHN",23.11.2024,,5:00,,295 cm,"309,92 m. ü. NHN",,,
PFELLING,,10078000,"2 305,50",,"308,12 m. ü. NHN",23.11.2024,,5:00,,391 cm,"312,03 m. ü. NHN",,,
PFATTER,,10068006,"2 350,70",,"316,98 m. ü. NHN",23.11.2024,,5:00,,343 cm,"320,41 m. ü. NHN",,,
